name,kind,seed,schedule,metric,test_bpc,val_bpc,distinct_1,js_1,distinct_2,js_2,distinct_3,js_3,repetition_4,exact_copy_fraction,copied_32gram_fraction,sample_count,generated_characters
ar_s0,ar,0,linear,exact_chunk_nll_bpc,5.829076647758484,5.837227404117584,0.390625,0.3927511120729453,0.9758064516129032,0.9581798947237101,1.0,0.9995494880335285,0.0,0.0,0.0,4,128
mdlm_s0,mdlm,0,linear,finite_chain_nelbo_bpc_mc,5.810179710388184,5.8237669467926025,0.421875,0.29063503292783455,0.9838709677419355,0.9399814976367642,1.0,0.9950604972811514,0.0,0.0,0.0,4,128
mlm_s0,mlm,0,linear,finite_chain_nelbo_bpc_mc,5.813143312931061,5.826267838478088,0.21875,0.39969410157754026,0.75,0.8953353463256934,0.9583333333333334,0.9984695162638486,0.0,0.0,0.0,4,128
mdlm_cosine_s0,mdlm,0,cosine,finite_chain_nelbo_bpc_mc,5.829476356506348,5.832739949226379,0.40625,0.28136794133501986,0.9838709677419355,0.9192119958296016,1.0,0.9919216123857957,0.0,0.0,0.0,4,128
mdlm_log_s0,mdlm,0,log,finite_chain_nelbo_bpc_mc,5.847824156284332,5.853094279766083,0.390625,0.34346300815574793,0.967741935483871,0.9556387439792209,1.0,0.9999999999999999,0.0,0.0,0.0,4,128
unweighted_s0,unweighted,0,linear,finite_chain_nelbo_bpc_mc,5.80989533662796,5.82335752248764,0.421875,0.29063503292783455,0.9838709677419355,0.9399814976367642,1.0,0.9950604972811514,0.0,0.0,0.0,4,128
