kind,name,steps,strategy,median_ms,p10_ms,p90_ms,tokens_per_second,timings_ms,compilation_seconds,peak_process_rss_mib,compiled_temp_bytes,compiled_argument_bytes,compiled_output_bytes,memory_note,backend,devices,length,batch,extrapolates_training_length
ar,ar_s0,32,cached_causal,0.6543334893649444,0.594566689687781,0.7141002890421078,48904.72598469203,"[0.5796249897684902, 0.7290419889613986]",0.32475616698502563,222.96875,13832,66544,128,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],32,1,False
mdlm,mdlm_s0,4,ancestral,0.9848744957707822,0.7237413083203137,1.2460076832212508,32491.449557698383,"[0.6584580114576966, 1.311290980083868]",0.49264170799870044,202.421875,54400,66544,128,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],32,1,False
mdlm,mdlm_s0,8,ancestral,2.0235625124769285,1.8471125193173066,2.2000125056365505,15813.694809373894,"[2.244125003926456, 1.803000021027401]",0.38589125001453795,188.53125,54400,66544,128,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],32,1,False
mdlm,mdlm_s0,4,confidence,1.6602920077275485,1.3840584026183933,1.9365256128367037,19273.718027347844,"[1.3150000013411045, 2.0055840141139925]",0.3563687920104712,218.984375,54464,66544,128,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],32,1,False
mdlm,mdlm_s0,8,confidence,1.5523120091529563,1.3900952093536034,1.7145288089523092,20614.412444996356,"[1.3495410094037652, 1.7550830089021474]",0.45243495801696554,182.25,54464,66544,128,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],32,1,False
