kind,name,steps,strategy,median_ms,p10_ms,p90_ms,tokens_per_second,timings_ms,compilation_seconds,peak_process_rss_mib,compiled_temp_bytes,compiled_argument_bytes,compiled_output_bytes,memory_note,backend,devices,length,batch,extrapolates_training_length
mdlm,mdlm_s0,64,ancestral,744.424375006929,742.3664084111806,778.8311082171276,2751.118943386207,"[742.4484590010252, 742.3117080179509, 788.2201250176877, 764.7475830162875, 744.424375006929]",0.291781332984101,282.34375,13550512,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,4,confidence,56.50329199852422,52.45051620877348,58.05035020457581,36245.675739627535,"[52.79391602380201, 52.22158299875446, 58.38766699889675, 57.544375013094395, 56.50329199852422]",0.2881275420077145,286.15625,13550448,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,8,confidence,103.6482920171693,103.23670860962011,104.73404199583456,19759.12926438527,"[103.6482920171693, 103.34695799974725, 104.14191699237563, 105.12879199814051, 103.16320901620202]",0.2852806670125574,271.4375,13550448,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,16,confidence,205.82200001808815,204.96188318938948,207.5252254086081,9950.345443247159,"[207.56820900714956, 205.05433299695142, 207.4607500107959, 204.9002499843482, 205.82200001808815]",0.2914618749928195,278.375,13550448,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,32,confidence,412.47916701831855,410.7323749864008,413.22939180536196,4965.099243203831,"[413.57120900647715, 412.47916701831855, 411.12799997790717, 410.46862499206327, 412.71666600368917]",0.28933624998899177,282.234375,13550512,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
mdlm,mdlm_s0,64,confidence,820.9517920040525,814.781925198622,847.8959831991233,2494.6653627499363,"[853.9309999905527, 815.3686250152532, 820.9517920040525, 838.8434580119792, 814.3907919875346]",0.28676329099107534,276.671875,13550640,945284,8192,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],128,16,False
ar,ar_s0,256,cached_causal,154.93820802657865,154.08894960419275,157.50777500797994,26436.34550941339,"[153.9911660074722, 154.93820802657865, 158.9876250072848, 155.28800000902265, 154.23562499927357]",0.25388033300987445,261.34375,7967032,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,4,ancestral,145.82762500504032,139.37410820508376,154.64076660573483,28087.956584758394,"[140.87445801123977, 145.82762500504032, 157.7715830062516, 149.94454200495966, 138.37387500097975]",0.2920247500005644,347.046875,44663536,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,8,ancestral,243.05487499805167,241.7596334067639,245.47069980180822,16852.161471901494,"[243.05487499805167, 246.9830829941202, 242.774084006669, 241.08333300682716, 243.20212501334026]",0.29543233397998847,354.859375,44663536,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,16,ancestral,488.4179590153508,482.8603587986436,490.26553340954706,8386.26001438916,"[481.546791997971, 490.9351670066826, 489.26108301384374, 488.4179590153508, 484.8307089996524]",0.29663774999789894,365.25,44663536,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,32,ancestral,982.4837499763817,975.1962832000572,994.5545503869653,4169.025696453978,"[973.754500009818, 977.358957985416, 982.4837499763817, 988.3384999993723, 998.6985839786939]",0.2940728749963455,360.5625,44663600,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,64,ancestral,2010.6202499882784,1977.407834015321,2021.1888331919909,2037.1823073123228,"[1962.775584019255, 1999.3562090094201, 2016.5798329981044, 2010.6202499882784, 2024.2614999879152]",0.2932860839937348,366.703125,44663728,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,4,confidence,130.3201669943519,129.17018320877105,131.98898318223655,31430.285077654342,"[130.3201669943519, 132.35766597790644, 128.72500001685694, 129.83795799664222, 131.43595898873173]",0.2881853750150185,350.984375,44663664,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,8,confidence,259.0987080184277,256.3587750075385,261.6533165797591,15808.646948979316,"[257.2308749950025, 262.0144169777632, 261.11166598275304, 255.7773750158958, 259.0987080184277]",0.28776291699614376,357.34375,44663664,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,16,confidence,575.7748330070172,545.6535578181501,602.4691749946214,7113.8920376363185,"[575.7748330070172, 609.4546249951236, 591.9909999938682, 557.8658330196049, 537.5120410171803]",0.29013654199661687,318.390625,44663664,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,32,confidence,1130.6322920136154,1105.0009165890515,1530.4964332084637,3622.751648730262,"[1645.667750010034, 1130.6322920136154, 1109.2914170003496, 1357.7394580061082, 1102.1405829815194]",0.6376554580056109,254.296875,44663728,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
mdlm,mdlm_s0,64,confidence,2409.6932079992257,2235.5774500058033,2502.0126080024056,1699.8014462600072,"[2449.9204580206424, 2409.6932079992257, 2536.7407079902478, 2195.07600000361, 2296.3296250090934]",0.3041252499970142,346.734375,44663856,945284,16384,"Fresh-process CPU RSS high-water mark includes Python, JAX and compilation; not GPU VRAM or inference-only memory",cpu,['TFRT_CPU_0'],256,16,True
