name,kind,seed,schedule,metric,test_bpc,val_bpc,distinct_1,js_1,distinct_2,js_2,distinct_3,js_3,repetition_4,exact_copy_fraction,copied_32gram_fraction,sample_count,generated_characters
ar_s0,ar,0,linear,exact_chunk_nll_bpc,3.0353687442839146,3.0481768883764744,0.014892578125,0.007965192289852768,0.1486220472440945,0.09178733040739205,0.45089285714285715,0.3119537210047377,0.01675000000000001,0.0,0.0,32,4096
ar_s1,ar,1,linear,exact_chunk_nll_bpc,3.096036396920681,3.0723132975399494,0.014404296875,0.011175323198181653,0.1392716535433071,0.09679527337221627,0.4392361111111111,0.2982975763956553,0.027750000000000014,0.0,0.0,32,4096
ar_s2,ar,2,linear,exact_chunk_nll_bpc,3.0991240181028843,3.0724656879901886,0.014892578125,0.009605983873030834,0.14985236220472442,0.09142557545373,0.4615575396825397,0.30962026780879276,0.02025000000000001,0.0,0.0,32,4096
mdlm_cosine_s0,mdlm,0,cosine,finite_chain_nelbo_bpc_mc,3.9447495378553867,3.9299971237778664,0.014404296875,0.013525447707090101,0.22563976377952755,0.23744468034387883,0.7110615079365079,0.6101059843084303,0.0017500000000000016,0.0,0.0,32,4096
mdlm_log_s0,mdlm,0,log,finite_chain_nelbo_bpc_mc,4.074991147965193,4.079314321279526,0.014404296875,0.012648176610622244,0.23228346456692914,0.25467931135529104,0.7271825396825397,0.6416344856622669,0.0012500000000000011,0.0,0.0,32,4096
mdlm_s0,mdlm,0,linear,finite_chain_nelbo_bpc_mc,3.9502327144145966,3.945861741900444,0.013671875,0.011713576459195832,0.21998031496062992,0.2293660033738147,0.705109126984127,0.6177552458217227,0.0010000000000000009,0.0,0.0,32,4096
mdlm_s1,mdlm,1,linear,finite_chain_nelbo_bpc_mc,3.958887003362179,3.9628014154732227,0.01416015625,0.017835020531634167,0.21136811023622049,0.23788577144758913,0.6999007936507936,0.6088733494251961,0.0005000000000000004,0.0,0.0,32,4096
mdlm_s2,mdlm,2,linear,finite_chain_nelbo_bpc_mc,3.972945913672447,3.9577501751482487,0.01416015625,0.011767674916991159,0.21899606299212598,0.23080094298560627,0.6812996031746031,0.6053432675089208,0.0025000000000000022,0.0,0.0,32,4096
mlm_s0,mlm,0,linear,finite_chain_nelbo_bpc_mc,3.9592314027249813,3.9397622495889664,0.008544921875,0.18305038802646212,0.0688976377952756,0.4256888774203422,0.21081349206349206,0.6537021920376789,0.128,0.0,0.0,32,4096
mlm_s1,mlm,1,linear,finite_chain_nelbo_bpc_mc,3.984172437340021,3.975132890045643,0.011962890625,0.1608555797734998,0.08513779527559055,0.4261148102683836,0.25967261904761907,0.6724315782959178,0.07849999999999999,0.0,0.0,32,4096
mlm_s2,mlm,2,linear,finite_chain_nelbo_bpc_mc,3.980932418256998,3.9671407602727413,0.0107421875,0.11300516184880094,0.08366141732283465,0.34659766607851855,0.28249007936507936,0.6034915698198224,0.041250000000000016,0.0,0.0,32,4096
unweighted_s0,unweighted,0,linear,finite_chain_nelbo_bpc_mc,3.8653345480561256,3.8584518805146217,0.01416015625,0.010704987478101745,0.22588582677165353,0.23723483190476957,0.7061011904761905,0.616997098395762,0.0015000000000000013,0.0,0.0,32,4096
